Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by,Latround,Longround
KYTHIRA,,	1932-01-01,,Operational,Operational,Land (fixed),0-20000-0-16743|primary,Europe,,Greece,36.1492,22.9887,166.1,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;RBSN(S),,,,,,"GOS General:Operational, RBON:Operational",	2022-11-01,Nick KALAMARAS,36.15,22.99
Kalymnos (AIrport),,	2009-04-15,,Operational,Operational,Land (fixed),0-300-0-16833|primary,Europe,,Greece,36.9647,26.9393,228.28,,,Hellenic National Meteorological Service,,,,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of very low altitude,,GOS General:Operational,	2020-04-25,Nick KALAMARAS,36.96,26.94
Karystos,,	1975-01-01,,Operational,Unknown,Land (fixed),0-300-0-16703|primary,Europe,,Greece,38.0006,24.3913,29.35,,UTC+2,Hellenic National Meteorological Service,,,,Warm temperate - Dry and hot summer,Water bodies(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within rises of low altitude,,Non-affiliated:Operational,	2020-04-26,Nick KALAMARAS,38,24.39
Kasos,,	1985-04-27,,Operational,Partly operational,Land (fixed),0-300-0-16770|primary,Europe,,Greece,35.4208,26.9145,9.44,,UTC+2,Hellenic National Meteorological Service,,,,,,,,,GOS General:Operational,	2020-04-25,Nick KALAMARAS,35.42,26.91
Kastelorizo,,	1987-01-01,,Operational,Partly operational,Land (fixed),0-300-0-16767|primary,Europe,,Greece,36.1434,29.5753,151.57,,,Hellenic National Meteorological Service,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of low altitude,3|160,GOS General:Operational,	2022-10-19,Nick KALAMARAS,36.14,29.58
Konitsa,,	1933-12-31,,Operational,Operational,Land (fixed),0-300-0-16628|primary,Europe,,Greece,40.0463,20.7381,465,,UTC+2,Hellenic National Meteorological Service,,,,,,,,,GOS General:Operational,	2022-10-19,Nick KALAMARAS,40.05,20.74
Kythira (Airport),,	1971-01-01,,Operational,Unknown,Land (fixed),0-300-0-16843|primary,Europe,,Greece,36.2749,23.0148,313.92,,,Hellenic National Meteorological Service,,,,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of very low altitude,1|10,Non-affiliated:Operational,	2022-11-01,Nick KALAMARAS,36.27,23.01
LAMIA,,	1932-01-01,,Operational,Operational,Land (fixed),0-20000-0-16675|primary,Europe,,Greece,38.8766,22436,12.46,,,Hellenic National Meteorological Service,,,AUT;RBSN(S) (see code table A for explanations).,,,,,,GOS General:Operational,	2022-10-19,Nick KALAMARAS,38.88,22436
LARISSA (AIRPORT),,	1932-01-01,,Operational,Operational,Land (fixed),0-20000-0-16648|primary,Europe,,Greece,39.6461,22.4602,71.15,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SNOW;SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey.,,,,,,"CLIMAT(C) - to be deprecated:Closed, GBON:Operational, GOS General:Operational, RBON:Operational, WRO:Operational",	2021-02-04,Nick KALAMARAS,39.65,22.46
LIMNOS (AIRPORT),,	1960-01-01,,Operational,Operational,Land (fixed),0-20000-0-16650|primary,Europe,,Greece,39.9223,25.2329,4.81,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AGRIMET;CLIMAT(C);METAR;RBSN(S);SNOW;SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey.,,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of very low altitude,3|10,RBON:Operational,	2022-10-19,Nick KALAMARAS,39.92,25.23
Leonidion,,	1981-01-01,,Operational,Unknown,Land (fixed),0-300-0-16727|primary,Europe,,Greece,37.1514,22892,2.52,,UTC+2,Hellenic National Meteorological Service,,,,Warm temperate - Dry and hot summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within mountains of middle altitude,1|60,Non-affiliated:Operational,	2020-04-25,Nick KALAMARAS,37.15,22892
Leros (Airport),,	1986-12-01,,Operational,Operational,Land (fixed),0-300-0-16768|primary,Europe,,Greece,37.1825,26803,9.21,,,Hellenic National Meteorological Service,,,,Warm temperate - Dry and hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within valleys of very low altitude,4|20,GOS General:Operational,	2020-04-25,Nick KALAMARAS,37.18,26803
METHONI,,	1948-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-16734|primary,Europe,,Greece,36.8254,21.7045,51.84,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;GSN;RBCN;RBSN(S),,,,,,"GSN:Closed, RBON:Operational",	2022-10-19,Nick KALAMARAS,36.83,21.7
MILOS,,	1932-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-16738|primary,Europe,,Greece,36.7386,24.4293,166.85,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;RBSN(S),,,,,,"GOS General:Operational, RBON:Operational",	2022-11-01,Nick KALAMARAS,36.74,24.43
MYTILINI (AIRPORT),,	1932-04-01,,Operational,Partly operational,Land (fixed),0-20000-0-16667|primary,Europe,,Greece,39.0538888889,26.6036111111,4.22,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBSN(S);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,19|250,"GBON, RBON:Operational",	2022-10-19,Nick KALAMARAS,39.05,26.6
Megara (Airport),,	2005-01-01,,Operational,Unknown,Land (fixed),0-300-0-16835|primary,Europe,,Greece,37.9811,23.3823,1.05,,,Hellenic National Meteorological Service,,,,,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within mountains of low altitude,,Non-affiliated:Operational,	2020-02-19,Nick KALAMARAS,37.98,23.38
Milos (Airport),,	1987-01-01,,Operational,Unknown,Land (fixed),0-300-0-16838|primary,Europe,,Greece,36.6977,24.4703,3.77,,,Hellenic National Meteorological Service,,,,,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within valleys of very low altitude,2|0,Non-affiliated:Operational,	2022-11-01,Nick KALAMARAS,36.7,24.47
Mykonos,,	1975-07-29,,Operational,Operational,Land (fixed),0-300-0-16750|primary,Europe,,Greece,37.4359,25.3458,121.6,,UTC+2,Hellenic National Meteorological Service,,,,,,,,,RBON:Operational,	2022-08-08,Alexander Scheid,37.44,25.35
NAXOS,,	1932-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-16732|primary,Europe,,Greece,37.1013,25.3728,10.75,,UTC+2,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;CLIMAT(C);RBSN(S);SEATEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,Water bodies(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of very low altitude,,"CLIMAT(C) - to be deprecated:Closed, GBON:Non-reporting, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-11-01,Nick KALAMARAS,37.1,25.37
Naxos (Airport),,	1992-01-01,,Operational,Unknown,Land (fixed),0-300-0-16832|primary,Europe,,Greece,37.0806,25.3694,3,,,Hellenic National Meteorological Service,,,,Steppe - Hot arid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of very low altitude,7|30,Non-affiliated:Operational,	2022-11-01,Nick KALAMARAS,37.08,25.37
Orei,,	1979-01-01,,Operational,Unknown,Land (fixed),0-300-0-16679|primary,Europe,,Greece,38.9023,23.1576,277,,,Hellenic National Meteorological Service,,,,Warm temperate - Dry and hot summer,Water bodies(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within rises of low altitude,,Non-affiliated:Operational,	2020-04-26,Nick KALAMARAS,38.9,23.16
PATRAI,,	1931-01-01,	2003-01-31,Closed,Unknown,Land (fixed),0-20000-0-16689|primary,Europe,,Greece,38.25,21.7333333333,1,,,Hellenic National Meteorological Service,,,This station ceased its operation in February 2011.,,,,,,GOS General:Closed,	2019-10-31,Nick KALAMARAS,38.25,21.73
PIRAEUS,,	1955-01-01,	2010-10-06,Closed,Unknown,Land (fixed),0-20000-0-16717|primary,Europe,,Greece,37.9833333333,23.5666666667,2,,,Hellenic National Meteorological Service,,,This station ceased its operation in October 2010.,,,,,,GOS General:Closed,	2019-10-31,Nick KALAMARAS,37.98,23.57
Paros,,	1985-04-27,,Operational,Operational,Land (fixed),0-300-0-16766|primary,Europe,,Greece,37.0223,25115,39.33,,UTC+2,Hellenic National Meteorological Service,,,,Steppe - Hot arid,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of very low altitude,7|30,GOS General:Operational,	2021-10-04,Nick KALAMARAS,37.02,25115
RETHYMNON,,	1957-01-01,	2008-09-08,Closed,Unknown,Land (fixed),0-20000-0-16758|primary,Europe,,Greece,35.35,24.5166666667,7,,,Hellenic National Meteorological Service,,,This station ceased its operation in July 2010.,,,,,,GOS General:Closed,	2019-10-31,Nick KALAMARAS,35.35,24.52
RHODES (AIRPORT),,	1948-01-18,,Operational,Operational,Land (fixed),0-20000-0-16749|primary,Europe,,Greece,36.4024,28.0889,6.45,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Mosaic forest or shrubland (50-70%) / grassland (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of very low altitude,35|130,"GBON:Operational, RBON:Operational",	2022-08-08,Alexander Scheid,36.4,28.09
SAMOS (AIRPORT),,	1979-01-01,,Operational,Operational,Land (fixed),0-20000-0-16723|primary,Europe,,Greece,37.6908333333,26.9161111111,5.79,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);GSN;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - to be deprecated:Closed, GBON, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-10-19,Nick KALAMARAS,37.69,26.92
SERRAI,,	1936-01-01,,Operational,Operational,Land (fixed),0-20000-0-16606|primary,Europe,,Greece,41.0765,23.5294,32.05,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AGRIMET;CLIMAT(C);EVAP;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey.,,,,,,RBON:Operational,	2022-10-19,Nick KALAMARAS,41.08,23.53
SITIA,,	1932-01-01,,Operational,Operational,Land (fixed),0-20000-0-16757|primary,Europe,,Greece,35.2156,26.1029,113.65,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);SUNDUR;SEMI-AUT,,,,,,GOS General:Operational,	2022-10-19,Nick KALAMARAS,35.22,26.1
SKYROS (AIRPORT),,	1940-01-01,,Operational,Operational,Land (fixed),0-20000-0-16684|primary,Europe,,Greece,38.9631,24.4905,20.66,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBSN(S);SNOW;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey.,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of very low altitude,0|0,"GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-10-19,Nick KALAMARAS,38.96,24.49
SOUDA (AIRPORT),,	1958-07-01,,Operational,Operational,Land (fixed),0-20000-0-16746|primary,Europe,,Greece,35.5286111111,24.1452777778,149.35,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);GSN;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - to be deprecated:Closed, GBON:Operational, GOS General:Operational, GSN:Operational, RBON:Operational",	2021-02-04,Nick KALAMARAS,35.53,24.15
Skiathos (Airport),,	1986-11-06,,Operational,Partly operational,Land (fixed),0-300-0-16660|primary,Europe,,Greece,39.1753,23.5018,2,,,Hellenic National Meteorological Service,,,,,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)(Surface cover types (GlobCover2009))",,(unknown) at lowest relative elevation within hills of very low altitude,4|30,RBON:Operational,	2022-08-08,Alexander Scheid,39.18,23.5
Syros,,	1991-06-17,,Operational,Operational,Land (fixed),0-300-0-16774|primary,Europe,,Greece,37.4212,24.9477,69.85,,UTC+2,Hellenic National Meteorological Service,,,,,,,,,GOS General:Operational,	2022-10-19,Nick KALAMARAS,37.42,24.95
TANAGRA (AIRPORT),,	1957-01-01,,Operational,Operational,Land (fixed),0-20000-0-16699|primary,Europe,,Greece,38.3354,23.5629,138.05,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;SPECI;SUNDUR;SEMI-AUT,,,,,,RBON:Operational,	2022-10-19,Nick KALAMARAS,38.34,23.56
TATOI,,	1951-01-01,,Operational,Operational,Land (fixed),0-20000-0-16715|primary,Europe,,Greece,38.1069,23.7801,236.55,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;SPECI;SEMI-AUT,,,,,516|3760,GOS General:Operational,	2022-10-19,Nick KALAMARAS,38.11,23.78
THESSALONIKI (AIRPORT),,	1959-01-17,,Operational,Operational,Land (fixed),0-20000-0-16622|primary,Europe,,Greece,40529,22.9703,1.68,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;RBCN;RBSN(ST);SNOW;SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey.,,,,,,"CLIMAT(C) - to be deprecated:Closed, GBON:Operational, GOS General:Operational, RBON:Operational, WRO:Operational",	2021-02-04,Nick KALAMARAS,40529,22.97
THIRA (AIRPORT),,	1974-01-01,,Operational,Silent,Land (fixed),0-20000-0-16744|primary,Europe,,Greece,36.4022,25.4737,40.29,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;SPECI;SUNDUR;SEMI-AUT,,,,,10|10,RBON:Operational,	2022-08-08,Alexander Scheid,36.4,25.47
TRIKALA,,	1987-01-01,	2011-04-12,Closed,Unknown,Land (fixed),0-20000-0-16645|primary,Europe,,Greece,39.55,21.7666666667,112,,,Hellenic National Meteorological Service,,,This station ceased its operation in 2011.,,,,,,GOS General:Closed,	2019-10-31,Nick KALAMARAS,39.55,21.77
TRIPOLIS (AIRPORT),,	1949-09-01,,Operational,Operational,Land (fixed),0-20000-0-16710|primary,Europe,,Greece,37.5247,22.3972,650.57,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AGRIMET;CLIMAT(C);EVAP;M;METAR;RBSN(S);SNOW;SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of middle altitude,,"GOS General:Operational, RBON:Operational",	2022-11-01,Nick KALAMARAS,37.52,22.4
TYMBAKION (AIRPORT),,	1959-01-01,	2021-12-16,Operational,Unknown,Land (fixed),0-20000-0-16759|primary,Europe,,Greece,35.0665,24.7621,6,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;EVAP;METAR;SOILTEMP,,,,,,RBON:Operational,	2022-08-08,Alexander Scheid,35.07,24.76
ZAKINTHOS,,	1982-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-16719|primary,Europe,,Greece,37.7514,20.8876,5.2,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);RBCN;SUNDUR;SEMI-AUT,,,,,19|60,"CLIMAT(C) - to be deprecated:Closed, GOS General:Operational, RBON:Operational",	2021-02-04,Nick KALAMARAS,37.75,20.89
DANMARKSHAVN,,	1951-01-01,,Operational,Operational,Land (fixed),0-20000-0-04320|primary,Europe,,Greenland,76.7694444444,-18.6680555556,11,,,Danish Meteorological Institute,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;CLIMAT(C);GSN;RBCN;RBSN(ST);WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - to be deprecated:Closed, GBON:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2016-04-28,,76.77,-18.67
ITTOQQORTOORMIIT (SCORESBYSUND),,	1925-01-01,,Operational,Operational,Land (fixed),0-20000-0-04339|primary,Europe,,Greenland,70.4844444444,-21.9511111111,70,,,Danish Meteorological Institute,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;RBCN;RBSN(ST);SUNDUR;WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - to be deprecated, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2022-08-25,Erna Beckmann,70.48,-21.95
MITTARFIK NARSARSUAQ (4270-0),,	1946-01-01,,Operational,Operational,Land (fixed),0-20000-0-04270|primary,Europe,,Greenland,61.1666666667,-45.4166666667,34.14,,,Danish Meteorological Institute,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR/SPECI A/R;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,,61.17,-45.42
QAQORTOQ (JULIANEHAAB),,	2003-09-09,,Operational,Partly operational,Land (fixed),0-20000-0-04272|primary,Europe,,Greenland,60.7155555556,-46.0433333333,57,,,Danish Meteorological Institute,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-10-13,Erna Beckmann,60.72,-46.04
TASIILAQ (AMMASSALIK),,	1947-10-26,,Operational,Partly operational,Land (fixed),0-20000-0-04360|primary,Europe,,Greenland,65.6111111111,-37.6366666667,54,,,Danish Meteorological Institute,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;RBCN;RBSN(ST);SUNDUR;WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - to be deprecated:Closed, GBON:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2022-11-11,Erna Beckmann,65.61,-37.64
Miskolc Diósgyőr,,	2013-06-27,,Operational,Operational,Land (fixed),"0-348-1-52744|primary,0-20000-0-12772",Europe,,Hungary,48.0947222222,20.7266666667,161,,,Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;RADSAMP;RBCN;RBSN(S);SOILTEMP;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radioactive sampling.,,,,,,"CLIMAT(C) - to be deprecated:Closed, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2021-12-10,Imre Szöllősi,48.09,20.73
Szentgotthárd Farkasfa,,	1982-02-01,,Operational,Operational,Land (fixed),"0-348-1-16204|primary,0-20000-0-12910",Europe,,Hungary,46.910278,16.309444,310.7,,UTC+1,Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;GAMMA RAY;RAREP;SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements.,Snow - Fully humid - Warm summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of low altitude,,GOS General:Operational,	2021-12-17,Imre Szöllősi,46.91,16.31
Taszár,,	1997-01-01,	2005-10-19,Closed,Unknown,Land (fixed),"0-348-1-27813|primary,0-20000-0-12932",Europe,,Hungary,46.4,17.9166666667,156,,,Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Closed,	2021-12-21,Imre Szöllősi,46.4,17.92
Tököl,,	1992-01-01,	2001-05-01,Closed,Unknown,Land (fixed),"0-348-1-34806|primary,0-20000-0-12844",Europe,,Hungary,47.35,18.9833333333,103,,,Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Closed,	2021-12-20,Imre Szöllősi,47.35,18.98
AKUREYRI,,	1881-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-04063|primary,Europe,,Iceland,65.68558,-18.10023,23,GPS,UTC,Icelandic Meteorological Office,http://www.vedur.is/vedur/athuganir/kort/nordurland_eystra/#group=15&station=422,www.vedur.is,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;CLIMAT(C);GSN;RBCN;RBSN(S);SEISMO;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Seismological observations.,Snow - Dry and cool summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within rises of low altitude,18|19,"CLIMAT(C) - to be deprecated:Closed, GBON:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-11-15,Sibylle von Löwis,65.69,-18.1
ASGARDUR,Ásgarður,	1993-01-01,,Operational,Unknown,Land (fixed),0-20000-0-04027|primary,Europe,,Iceland,65.2297,-21.75427,48,From map,UTC,Icelandic Meteorological Office,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Polar - Tundra,"Closed to open (>15%) grassland or woody vegetation on regularly flooded or waterlogged soil - Fresh, brackish or saline water(Surface cover types (GlobCover2009))",,(unknown) at low relative elevation within hills of low altitude,,GOS General:Operational,	2021-08-27,Sibylle von Löwis,65.23,-21.75
BASAR,,	1991-07-01,	2004-01-01,Closed,Unknown,Land (fixed),0-20000-0-04052|primary,Europe,,Iceland,63.677574,-19.481827,250,GPS,UTC,Icelandic Meteorological Office,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: SUMMER STATION/STATION D'ETE (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Polar - Tundra,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of middle altitude,,GOS General:Closed,	2022-09-23,Sibylle von Löwis,63.68,-19.48
BOLUNGARVIK,Bolungarvík,	1949-01-01,,Operational,Operational,Land (fixed),0-20000-0-04005|primary,Europe,,Iceland,66.16102,-23.25383,27,GPS,UTC,Icelandic Meteorological Office,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;RBSN(S);SEA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations.,Polar - Tundra,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of low altitude,,"Ceilometers, GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-11-25,Sibylle von Löwis,66.16,-23.25
BREIDAVIK,,	1989-01-01,	2005-01-01,Closed,Unknown,Land (fixed),0-20000-0-04001|primary,Europe,,Iceland,65.54985,-24.35098,20,,UTC,Icelandic Meteorological Office,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;SEA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations.,,,,,,GOS General:Closed,	2017-06-02,Sibylle von Löwis,65.55,-24.35
Bergstaðir,,	1978-06-12,	2018-06-12,Closed,Unknown,Land (fixed),0-20000-0-04053|primary,Europe,,Iceland,65.70298,-19.61303,43,,UTC,Icelandic Meteorological Office,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)(Surface cover types (GlobCover2009))",,(unknown) at lowest relative elevation within valleys of low altitude,,GOS General:Closed,	2022-09-23,ISL NMHS ,65.7,-19.61
Blönduós,,	1963-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-04045|primary,Europe,,Iceland,65658,-20.29252,8,GPS,UTC,Icelandic Meteorological Office,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Dry and cool summer,Mosaic forest or shrubland (50-70%) / grassland (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within valleys of very low altitude,,"GBON:Operational, GOS General:Operational",	2022-11-18,Sibylle von Löwis,65658,-20.29
DALATANGI (4097-0),,,,Operational,Partly operational,Land (fixed),0-20000-0-04097|primary,Europe,,Iceland,65.2666666667,-13.5833333333,9,,,Icelandic Meteorological Office,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;LH;RBCN;RBSN(S);SEA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations.,,,,,,"RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,,65.27,-13.58
