,station,lat,lon,weatherfont,weathersymbol,weathercolour,wwletter
237,EGPA,58.9578,-2.905,,,,1110003600100002000300004000051000600007000080000
238,EGPC,58.4589,-3.09306,,,,1110003600100002000300004000051000600007000080000
239,EGPE,57.5425,-4.0475,36.0,1,,1110003600100002000300004000051000600007000080000
240,EGPL,57.4811,-7.36278,,,,1110003600100002000300004000051000600007000080000
241,EGPN,56.4525,-3.02583,,,,1110003600100002000300004000051000600007000080000
242,ESMV,57.2922,14.1372,,,,1110003600100002000300004000051000600007000080000
243,EGJJ,49.2079,-2.19551,,,,1110003600100002000300004000051000600007000080000
244,EKBI,55.7403,9.15178,36.0,^,green,1110003600100002000300004000051000600007000080000
245,EKCH,55.6179,12.656,,,,1110003600100002000300004000051000600007000080000
246,EKEB,55.5259,8.5534,36.0,',green,1110003600100002000300004000051000600007000080000
247,EKOD,55.4767,10.3309,36.0,q,green,1110003600100002000300004000051000600007000080000
248,EKRK,55.5856,12.1314,,,,1110003600100002000300004000051000600007000080000
249,EKRN,55.0633,14.7596,,,,1110003600100002000300004000051000600007000080000
250,EKSB,54.9644,9.79173,,,,1110003600100002000300004000051000600007000080000
251,ENBN,65.4611,12.2175,,,,1110003600100002000300004000051000600007000080000
252,ENFL,61.5836,5.02472,36.0,1,,1110003600100002000300004000051000600007000080000
253,ENHK,70.4867,22.1397,36.0,1,,1110003600100002000300004000051000600007000080000
254,ENHV,71.0097,25.9836,36.0,h,magenta,1110003600100002000300004000051000600007000080000
255,ENLK,68.1525,13.6094,,,,1110003600100002000300004000051000600007000080000
256,ENMH,71.0297,27.8267,,,,1110003600100002000300004000051000600007000080000
257,ENMS,65.784,13.2149,,,,1110003600100002000300004000051000600007000080000
258,ENNM,64.4722,11.5786,36.0,q,green,1110003600100002000300004000051000600007000080000
259,ENNO,59.5657,9.21222,,,,1110003600100002000300004000051000600007000080000
260,ENRM,64.8383,11.1461,,,,1110003600100002000300004000051000600007000080000
261,ENRS,67.5278,12.1033,,,,1110003600100002000300004000051000600007000080000
262,ENSK,68.57883,15.03342,,,,1110003600100002000300004000051000600007000080000
263,ENSO,59.7919,5.34085,,,,1110003600100002000300004000051000600007000080000
264,ENST,65.9568,12.4689,,,,1110003600100002000300004000051000600007000080000
265,ENVD,70.0653,29.8447,36.0,1,,1110003600100002000300004000051000600007000080000
266,LGLM,39.9171,25.2363,,,,1110003600100002000300004000051000600007000080000
267,LIPE,44.5354,11.2887,,,,1110003600100002000300004000051000600007000080000
268,EGFF,51.3967,-3.34333,,,,1110003600100002000300004000051000600007000080000
269,ESKM,60.9579,14.5114,,,,1110003600100002000300004000051000600007000080000
270,ENOV,62.18,6.0741,36.0,^,green,1110003600100002000300004000051000600007000080000
271,LGAL,40.8559,25.9563,,,,1110003600100002000300004000051000600007000080000
272,LGBL,39.2196,22.7943,36.0,^,green,1110003600100002000300004000051000600007000080000
273,LGKF,38.1201,20.5005,,,,1110003600100002000300004000051000600007000080000
274,LGKV,40.9133,24.6192,,,,1110003600100002000300004000051000600007000080000
275,LGMK,37.4351,25.3481,,,,1110003600100002000300004000051000600007000080000
276,LGRX,38.1511,21.4256,,,,1110003600100002000300004000051000600007000080000
277,LGSR,36.3992,25.4793,,,,1110003600100002000300004000051000600007000080000
278,LGZA,37.7509,20.8843,36.0,+,yellow,1110003600100002000300004000051000600007000080000
279,LIEE,39.2515,9.05428,,,,1110003600100002000300004000051000600007000080000
280,LIMC,45.6306,8.72811,,,,1110003600100002000300004000051000600007000080000
281,LIME,45.6739,9.70417,36.0,^,green,1110003600100002000300004000051000600007000080000
282,LIMF,45.2008,7.64963,,,,1110003600100002000300004000051000600007000080000
283,LIMJ,44.4133,8.8375,36.0,T,green,1110003600100002000300004000051000600007000080000
284,LIML,45.4451,9.27674,,,,1110003600100002000300004000051000600007000080000
