icao,iata,name,city,subd,country,elevation,lat,lon,tz,lid
EDFS,,Schweinfurt-Sud Airport,Schweinfurt,Bavaria,DE,686,50.0108337402,10.2511110306,Europe/Berlin,
EDFT,,Lauterbach Airport,Lauterbach,Hesse,DE,1211,50.6833343506,9.4108333588,Europe/Berlin,
EDFU,,Mainbullau Airport,Miltenberg,Bavaria,DE,1503,49.6949996948,9.1824998856,Europe/Berlin,
EDFV,,Worms Airport,Worms,Rheinland-Pfalz,DE,295,49.6069450378,8.3683328629,Europe/Berlin,
EDFW,,Wurzburg-Schenkenturm Airport,Wurzburg,Bavaria,DE,991,49.817779541,9.8975000381,Europe/Berlin,
EDFX,,Hockenheim Airport,Hockenheim,Baden-Wuerttemberg,DE,315,49.3252792358,8.5286111832,Europe/Berlin,
EDFY,,Elz Airport,Limburg an der Lahn,Hesse,DE,699,50.4269447327,8.0111112595,Europe/Berlin,
EDFZ,QMZ,Mainz-Finthen Airport,Mainz,Rheinland-Pfalz,DE,761,49.9674987793,8.1472215652,Europe/Berlin,
EDGA,,Ailertchen Airport,Ailertchen,Rheinland-Pfalz,DE,1542,50.5930557251,7.9450001717,Europe/Berlin,
EDGB,,Breitscheid Airport,Breitscheid,Hesse,DE,1834,50.6763877869,8.1694440842,Europe/Berlin,
EDGE,,Eisenach-Kindel Airport,Eisenach,Thuringia,DE,1112,50.9927787781,10.4727783203,Europe/Berlin,
EDGF,,Fulda-Jossa Airport,Fulda,Hesse,DE,1558,50.4755554199,9.4425001144,Europe/Berlin,
EDGH,,Hettstadt Airport,Hettstadt,Bavaria,DE,1050,49.7986106873,9.8366670609,Europe/Berlin,
EDGI,,Ingelfingen-Buhlhof Airport,Ingelfingen,Baden-Wuerttemberg,DE,1375,49.3216667175,9.6630563736,Europe/Berlin,
EDGJ,,Ochsenfurt Airport,Ochsenfurt,Bavaria,DE,814,49.6736106873,10.0713891983,Europe/Berlin,
EDGK,,Korbach Airport,Korbach,Hesse,DE,1280,51.2522201538,8.8736114502,Europe/Berlin,
EDGL,,Ludwigshafen Airfield,Dannstadt,Rheinland-Pfalz,DE,318,49.4131,8.3518,Europe/Berlin,
EDGM,,Mosbach-Lohrbach Airport,Mosbach,Baden-Wuerttemberg,DE,1818,49.3988876343,9.1238889694,Europe/Berlin,
EDGP,,Oppenheim Airport,Oppenheim,Rheinland-Pfalz,DE,279,49.8416671753,8.3766670227,Europe/Berlin,
EDGQ,,Schameder Airport,Schameder,North-Rhine-Westphalia,DE,1788,51.0002784729,8.3077783585,Europe/Berlin,
EDGR,,Giesen-Reiskirchen Airport,Giesen,Hesse,DE,702,50.5669441223,8.8697223663,Europe/Berlin,
EDGS,SGE,Siegerland Airport,,North-Rhine-Westphalia,DE,1966,50.707698822,8.0829696655,Europe/Berlin,
EDGT,,Bottenhorn Airport,Bottenhorn,Hesse,DE,1657,50.7952766418,8.4583330154,Europe/Berlin,
EDGU,,Unterschupf Airport,Unterschupf,Baden-Wuerttemberg,DE,1155,49.5158348083,9.6694440842,Europe/Berlin,
EDGW,,Wolfhagen „Graner Berg“ Airport,Wolfhagen,Hesse,DE,1027,51.307220459,9.17527771,Europe/Berlin,
EDGX,,Walldorf Airport,Walldorf,Baden-Wuerttemberg,DE,344,49.3030548096,8.6588888168,Europe/Berlin,
EDGZ,,Weinheim/Bergstrase Airport,Weinheim,Hesse,DE,318,49.5675010681,8.6105556488,Europe/Berlin,
EDHB,,Grube Airport,Grube,Schleswig-Holstein,DE,7,54.2444458008,11.0247220993,Europe/Berlin,
EDHC,,Luchow-Rehbeck Airport,Luchow,Lower-Saxony,DE,49,53.0161094666,11.1444444656,Europe/Berlin,
EDHE,,Uetersen/Heist Airport,Uetersen,Schleswig-Holstein,DE,23,53.6463890076,9.704167366,Europe/Berlin,
EDHF,,Itzehoe/Hungriger Wolf Airport,Itzehoe,Schleswig-Holstein,DE,89,53.9944458008,9.5786113739,Europe/Berlin,
EDHG,,Luneburg Airport,Luneburg,Lower-Saxony,DE,161,53.2488899231,10.4616670609,Europe/Berlin,
EDHI,XFW,Hamburg-Finkenwerder Airport,Hamburg,Hamburg,DE,23,53.5352783203,9.8355560303,Europe/Berlin,
EDHK,KEL,Kiel-Holtenau Airport,Kiel,Schleswig-Holstein,DE,102,54.3794441223,10.145277977,Europe/Berlin,
EDHL,LBC,Lubeck Blankensee Airport,Lubeck,Schleswig-Holstein,DE,53,53.8054008484,10.7192001343,Europe/Berlin,
EDHM,,Hartenholm Airport,Hasenmoor,Schleswig-Holstein,DE,108,53.9150009155,10.0355558395,Europe/Berlin,
EDHN,EUM,Neumunster Airport,Neumunster,Schleswig-Holstein,DE,72,54.0794448853,9.9413890839,Europe/Berlin,
EDHO,,Ahrenlohe Airport,Tornesch,Schleswig-Holstein,DE,33,53.69972229,9.7405557632,Europe/Berlin,
EDHP,,Pellworm Airport,Pellworm,Schleswig-Holstein,DE,3,54.5363883972,8.6800003052,Europe/Berlin,
EDHS,,Stade Airport,Stade,Lower-Saxony,DE,62,53.5611114502,9.4991674423,Europe/Berlin,
EDHU,,Lauenbruck Airport,Lauenbruck,Lower-Saxony,DE,98,53.2075004578,9.5733327866,Europe/Berlin,
EDHW,,Wahlstedt Airport,Wahlstedt,Schleswig-Holstein,DE,128,53.9694442749,10.2216672897,Europe/Berlin,
EDJA,FMM,Memmingen Allgau Airport,Memmingen,Bavaria,DE,2077,47.9888000488,10.2395000458,Europe/Berlin,
EDKA,AAH,Aachen-Merzbruck Airport,Aachen,North-Rhine-Westphalia,DE,623,50.8230552673,6.1863889694,Europe/Berlin,
EDKB,BNJ,Bonn-Hangelar Airport,Bonn,North-Rhine-Westphalia,DE,197,50.7688903809,7.1633329391,Europe/Berlin,
